1室1厅1卫,1600元月,蓬江区-北新区-万达广场,/zufang/JIANGMEN2163608272618668032.html,整租·万达广场 1室1厅 南,低楼层,45㎡,南
南,30㎡,蓬江区-双龙-双龙雅居,1室1厅1卫,中楼层,整租·双龙雅居 1室1厅 南,/zufang/JIANGMEN2428263564834766848.html,700元月
/zufang/JIANGMEN2414370794269310976.html,1室1厅1卫,整租·汇豪居 1室1厅 南,鹤山市-鹤山市-汇豪居,低楼层,50㎡,南,450元月
950元月,整租·育德西小区 1室1厅 南,1室1厅1卫,中楼层,/zufang/JIANGMEN2395647161577504768.html,50㎡,南,蓬江区-育德-育德西小区
35㎡,1室1厅1卫,1600元月,蓬江区-北新区-万达广场,/zufang/JIANGMEN2480957811958218752.html,高楼层,整租·万达广场 1室1厅 南,南
蓬江区-双龙-天龙一街,40㎡,850元月,中楼层,/zufang/JIANGMEN2481636727127539712.html,1室0厅1卫,南,整租·天龙一街 1室0厅 南
蓬江区-双龙-双龙广场小区,1000元月,1室1厅1卫,/zufang/JIANGMEN2484837543536246784.html,高楼层,整租·双龙广场小区 1室1厅 南,43㎡,南
40㎡,/zufang/JIANGMEN2374459204670070784.html,1000元月,蓬江区-北新区-怡康华庭,中楼层,整租·怡康华庭 1室0厅 南,1室0厅1卫,南
/zufang/JIANGMEN2468017184664985600.html,1700元月,西,整租·万达广场 1室1厅 西,35㎡,1室1厅1卫,蓬江区-北新区-万达广场,高楼层
/zufang/JIANGMEN2383240318490247168.html,30㎡,1室1厅1卫,整租·南景湾 1室1厅 南,低楼层,南,450元月,鹤山市-鹤山市-南景湾
30㎡,1000元月,蓬江区-白沙农林-象溪·MINI微公馆,/zufang/JIANGMEN2407227931358404608.html,高楼层,1室0厅1卫,整租·象溪·MINI微公馆 1室0厅 南,南
蓬江区-双龙-天龙二街,/zufang/JIANGMEN2466466691933011968.html,整租·天龙二街 1室0厅 西南,17㎡,550元月,中楼层,西南,1室0厅1卫
蓬江区-双龙-天龙一街,南,750元月,/zufang/JIANGMEN2401230437902467072.html,中楼层,1室0厅1卫,23㎡,整租·天龙一街 1室0厅 南
/zufang/JIANGMEN2480985625151676416.html,1室1厅1卫,1100元月,整租·好景花园 1室1厅 南,蓬江区-双龙-好景花园,高楼层,45㎡,南
2室1厅1卫,/zufang/JIANGMEN2477587076460322816.html,1200元月,整租·嘉悦名都名校一号 2室1厅 南,中楼层,蓬江区-北新区-嘉悦名都名校一号,45㎡,南
1200元月,35㎡,1室1厅1卫,高楼层,/zufang/JIANGMEN2485506289975959552.html,南,整租·恒健大厦 1室1厅 南,蓬江区-良化北街-恒健大厦
/zufang/JIANGMEN2481170539239186432.html,1500元月,江海区-河南-东海花园,100㎡,3室1厅1卫,高楼层,整租·东海花园 3室1厅 南,南
整租·新中里 2室1厅 南,1000元月,77㎡,江海区-河南-新中里,高楼层,2室1厅1卫,南,/zufang/JIANGMEN2483229534623899648.html
/zufang/JIANGMEN2470231199847546880.html,东南,整租·杏花邨 2室1厅 东南,鹤山市-鹤山市-杏花邨,90㎡,高楼层,2室1厅1卫,600元月
/zufang/JIANGMEN2474556018584199168.html,1500元月,整租·江海碧桂园 2室1厅 南,70㎡,低楼层,江海区-外海-江海碧桂园,2室1厅1卫,南
东南,2室1厅2卫,整租·益嘉园 2室1厅 东南,1600元月,中楼层,95㎡,蓬江区-白沙农林-益嘉园,/zufang/JIANGMEN2473800839962574848.html
整租·中山路 2室2厅 南,鹤山市-鹤山市-中山路,500元月,/zufang/JIANGMEN2404126914378727424.html,中楼层,南,2室2厅2卫,71㎡
/zufang/JIANGMEN2462965853629718528.html,96㎡,1000元月,3室2厅1卫,高楼层,鹤山市-鹤山市-小范苑,南,整租·小范苑 3室2厅 南
2室2厅1卫,北,/zufang/JIANGMEN2398427213025247232.html,1000元月,整租·新南里 2室2厅 南/北,江海区-河南-新南里,80㎡,南
69㎡,整租·南门苑 2室1厅 南,/zufang/JIANGMEN2409468139617665024.html,鹤山市-鹤山市-南门苑,高楼层,2室1厅1卫,南,600元月
/zufang/JIANGMEN2389819913780346880.html,1000元月,3室2厅1卫,整租·凤湾里 3室2厅 南,86㎡,蓬江区-江华港口-凤湾里,高楼层,南
3室2厅2卫,北,蓬江区-育德-育德东小区,100㎡,整租·育德东小区 3室2厅 南/北,1600元月,/zufang/JIANGMEN2471743272746221568.html,南
93㎡,整租·美景里 3室2厅 南,3室2厅1卫,蓬江区-江华港口-美景里,高楼层,1400元月,南,/zufang/JIANGMEN2425994983501725696.html
2室1厅1卫,75㎡,1000元月,蓬江区-育德-育德街,/zufang/JIANGMEN2430402899000696832.html,高楼层,整租·育德街 2室1厅 南,南
/zufang/JIANGMEN2405507173339119616.html,3室2厅2卫,1500元月,100㎡,高楼层,蓬江区-江华港口-跃进路,整租·跃进路 3室2厅 南,南
